,ATC_LVL5,ATC_LVL4,ATC_LVL3,ATC_LVL2,ATC_LVL1,active_ingredient,smile_x,ATC_LVL0
631,gatifloxacin,"fluoroquinolone antibacterials, systemic",quinolone antibacterials,antibacterials for systemic use,antiinfectives for systemic use,gatifloxacin,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,ROOT
632,gatifloxacin,"fluoroquinolone antiinfectives, ophthalmologic",antiinfective ophthalmologics,ophthalmologicals,sensory organ drugs,gatifloxacin,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,ROOT
633,enflurane,"halogenated hydrocarbons, general anesthetics","anesthetics, general",anesthetics,nervous system drugs,enflurane,FC(F)OC(F)(F)C(F)Cl,ROOT
634,ketamine,other general anesthetics in atc,"anesthetics, general",anesthetics,nervous system drugs,ketamine,CNC1(c2ccccc2Cl)CCCCC1=O,ROOT
635,cefradine,first-generation cephalosporins,other beta-lactam antibacterials in atc,antibacterials for systemic use,antiinfectives for systemic use,cefradine,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1,ROOT
636,lomefloxacin,"fluoroquinolone antiinfectives, ophthalmologic",antiinfective ophthalmologics,ophthalmologicals,sensory organ drugs,lomefloxacin,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,ROOT
637,lomefloxacin,"fluoroquinolone antibacterials, systemic",quinolone antibacterials,antibacterials for systemic use,antiinfectives for systemic use,lomefloxacin,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,ROOT
638,thiotepa,"ethylene imines, antineoplastic alkylating drugs",alkylating agents,antineoplastic agents,antineoplastic and immunomodulating agents,thiotepa,S=P(N1CC1)(N1CC1)N1CC1,ROOT
639,cefoperazone,third-generation cephalosporins,other beta-lactam antibacterials in atc,antibacterials for systemic use,antiinfectives for systemic use,cefoperazone,CCN1CCN(C(=O)NC(C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O,ROOT
640,prednicarbate,"corticosteroids, potent (group iii)","corticosteroid dermatological preparations, plain","corticosteroids, dermatological preparations",dermatologicals,prednicarbate,CCOC(=O)OC1(C(=O)COC(=O)CC)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,ROOT
641,moxifloxacin,"fluoroquinolone antiinfectives, ophthalmologic",antiinfective ophthalmologics,ophthalmologicals,sensory organ drugs,moxifloxacin,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,ROOT
642,moxifloxacin,"fluoroquinolone antibacterials, systemic",quinolone antibacterials,antibacterials for systemic use,antiinfectives for systemic use,moxifloxacin,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,ROOT
643,entacapone,other dopaminergic agents in atc,dopaminergic agents,anti-parkinson drugs,nervous system drugs,entacapone,CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,ROOT
644,spironolactone,aldosterone antagonists,potassium-sparing diuretics,diuretics,cardiovascular system drugs,spironolactone,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@@H]21,ROOT
645,phenacemide,other antiepileptics in atc,antiepileptics,antiepileptics,nervous system drugs,phenacemide,NC(=O)NC(=O)Cc1ccccc1,ROOT
646,bosentan,antihypertensives for pulmonary arterial hypertension,other antihypertensives in atc,antihypertensives,cardiovascular system drugs,bosentan,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,ROOT
647,phenindione,vitamin k antagonists,antithrombotic agents,antithrombotic agents,blood and blood forming organ drugs,phenindione,O=C1c2ccccc2C(=O)C1c1ccccc1,ROOT
648,midazolam,benzodiazepine derivative hypnotics and sedatives,hypnotics and sedatives,psycholeptics,nervous system drugs,midazolam,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,ROOT
649,tretinoin,retinoids for topical use in acne,anti-acne preparations for topical use,anti-acne preparations,dermatologicals,tretinoin,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,ROOT
650,tretinoin,other antineoplastic agents in atc,other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents,tretinoin,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,ROOT
651,cabergoline,prolactine inhibitors,other gynecologicals in atc,other gynecologicals in atc,genito urinary system and sex hormones,cabergoline,C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,ROOT
652,cabergoline,dopamine agonists,dopaminergic agents,anti-parkinson drugs,nervous system drugs,cabergoline,C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,ROOT
653,probenecid,preparations increasing uric acid excretion,antigout preparations,antigout preparations,musculo-skeletal system drugs,probenecid,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,ROOT
654,acamprosate,drugs used in alcohol dependence,drugs used in addictive disorders,other nervous system drugs in atc,nervous system drugs,acamprosate,CC(=O)NCCCS(=O)(=O)O,ROOT
655,clofarabine,"purine analogs, antimetabolites antineoplastic",antimetabolites,antineoplastic agents,antineoplastic and immunomodulating agents,clofarabine,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F,ROOT
656,propranolol,"beta blocking agents, non-selective",beta blocking agents,beta-adrenergic blocking agents,cardiovascular system drugs,propranolol,CC(C)NCC(O)COc1cccc2ccccc12,ROOT
657,loxapine,"diazepines, oxazepines, thiazepines and oxepines antipsychotic drugs",antipsychotics,psycholeptics,nervous system drugs,loxapine,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,ROOT
658,penciclovir,nucleosides and nucleotides excl. reverse transcriptase inhibitors,direct acting antivirals,antivirals for systemic use,antiinfectives for systemic use,penciclovir,Nc1nc(=O)c2ncn(CCC(CO)CO)c2[nH]1,ROOT
659,penciclovir,"antivirals, topical",chemotherapeutics for topical use,antibiotics and chemotherapeutics for dermatological use,dermatologicals,penciclovir,Nc1nc(=O)c2ncn(CCC(CO)CO)c2[nH]1,ROOT
660,hexobarbital,"barbiturates for general anesthesia, plain","anesthetics, general",anesthetics,nervous system drugs,hexobarbital,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,ROOT
661,hexobarbital,"barbiturates, hypnotics and sedatives, plain",hypnotics and sedatives,psycholeptics,nervous system drugs,hexobarbital,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,ROOT
662,chlorhexidine,other antiinfectives in atc,antiinfective ophthalmologics,ophthalmologicals,sensory organ drugs,chlorhexidine,N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1,ROOT
663,chlorhexidine,antiinfectives,"antiinfectives, ophthalmologic and otologic",ophthalmological and otological preparations,sensory organ drugs,chlorhexidine,N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1,ROOT
664,chlorhexidine,antiinfectives,"antiinfective drugs, otologic",otologicals,sensory organ drugs,chlorhexidine,N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1,ROOT
665,chlorhexidine,medicated dressings with antiinfectives,medicated dressings,medicated dressings,dermatologicals,chlorhexidine,N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1,ROOT
666,chlorhexidine,antiseptic throat preparations,throat preparations,throat preparations,respiratory system drugs,chlorhexidine,N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1,ROOT
667,chlorhexidine,antiinfective irrigating solutions,"irrigating solutions, blood substitutes and perfusion",blood substitutes and perfusion solutions,blood and blood forming organ drugs,chlorhexidine,N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1,ROOT
668,chlorhexidine,biguanides and amidines as antiseptics and disinfectants,antiseptics and disinfectants,antiseptics and disinfectants,dermatologicals,chlorhexidine,N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1,ROOT
669,chlorhexidine,antiinfectives and antiseptics for local oral treatment,stomatological preparations,stomatological preparations,alimentary tract and metabolism drugs,chlorhexidine,N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1,ROOT
670,norepinephrine,adrenergic and dopaminergic cardiac stimulants,cardiac stimulants excl. cardiac glycosides,cardiac therapy drugs,cardiovascular system drugs,norepinephrine,NC[C@H](O)c1ccc(O)c(O)c1,ROOT
671,diphenoxylate,antipropulsives,antipropulsives,"antidiarrheals, intestinal antiinflammatory/antiinfective agents",alimentary tract and metabolism drugs,diphenoxylate,CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1,ROOT
672,saquinavir,"protease inhibitors, direct acting antivirals",direct acting antivirals,antivirals for systemic use,antiinfectives for systemic use,saquinavir,CC(C)(C)NC(=O)[C@@H]1CC2CCCCC2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,ROOT
673,diphenylpyraline,"aminoalkyl ethers, systemic antihistamines",antihistamines for systemic use,antihistamines for systemic use,respiratory system drugs,diphenylpyraline,CN1CCC(OC(c2ccccc2)c2ccccc2)CC1,ROOT
674,trimetrexate,other agents against amoebiasis and other protozoal diseases in atc,agents against amoebiasis and other protozoal diseases,antiprotozoals,"antiparasitic products, insecticides and repellents",trimetrexate,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,ROOT
675,lindane,chlorine containing product ectoparasiticides,"ectoparasiticides, incl. scabicides","ectoparasiticides, incl. scabicides, insecticides and repellents","antiparasitic products, insecticides and repellents",lindane,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,ROOT
676,rosoxacin,other quinolones in atc,quinolone antibacterials,antibacterials for systemic use,antiinfectives for systemic use,rosoxacin,CCn1cc(C(=O)O)c(=O)c2ccc(-c3ccncc3)cc21,ROOT
677,telbivudine,nucleoside and nucleotide reverse transcriptase inhibitors,direct acting antivirals,antivirals for systemic use,antiinfectives for systemic use,telbivudine,Cc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=O,ROOT
678,pentostatin,other antineoplastic agents in atc,other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents,pentostatin,OC[C@H]1O[C@@H](n2cnc3c2N=CNC[C@H]3O)C[C@@H]1O,ROOT
679,mecamylamine,"secondary and tertiary amines, ganglion-blocking antiadrenergic","antiadrenergic agents, ganglion-blocking",antihypertensives,cardiovascular system drugs,mecamylamine,CNC1(C)C2CCC(C2)C1(C)C,ROOT
680,trimethadione,"oxazolidine derivatives, antiepileptics",antiepileptics,antiepileptics,nervous system drugs,trimethadione,CN1C(=O)OC(C)(C)C1=O,ROOT
681,clomocycline,tetracyclines,tetracycline antibiotics,antibacterials for systemic use,antiinfectives for systemic use,clomocycline,CN(C)[C@@H]1C(O)=C(C(=O)NCO)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12,ROOT
682,aripiprazole,other antipsychotics in atc,antipsychotics,psycholeptics,nervous system drugs,aripiprazole,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,ROOT
683,imipramine,non-selective monoamine reuptake inhibitors,antidepressants,psychoanaleptics,nervous system drugs,imipramine,CN(C)CCCN1c2ccccc2CCc2ccccc21,ROOT
684,posaconazole,"triazole derivatives, systemic antimycotics",antimycotics for systemic use,antimycotics for systemic use,antiinfectives for systemic use,posaconazole,CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O,ROOT
685,nadolol,"beta blocking agents, non-selective",beta blocking agents,beta-adrenergic blocking agents,cardiovascular system drugs,nadolol,CC(C)(C)NCC(O)COc1cccc2c1C[C@H](O)[C@H](O)C2,ROOT
686,dihydrotachysterol,vitamin d and analogues,"vitamin a and d, incl. combinations of the two",vitamins,alimentary tract and metabolism drugs,dihydrotachysterol,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2/C(=C/C=C3\C[C@@H](O)CC[C@@H]3C)CCC[C@@]21C,ROOT
687,tymazoline,"sympathomimetics, plain",decongestants and other nasal preparations for topical use,nasal preparations,respiratory system drugs,tymazoline,Cc1ccc(C(C)C)c(OCC2=NCCN2)c1,ROOT
688,rimexolone,"corticosteroid ophthalmologic antiinflammatory agents, plain","antiinflammatory agents, ophthalmologic",ophthalmologicals,sensory organ drugs,rimexolone,CCC(=O)[C@@]1(C)[C@H](C)CC2C3CCC4=CC(=O)C=C[C@]4(C)C3[C@@H](O)C[C@@]21C,ROOT
689,rimexolone,"glucocorticoids, systemic","corticosteroids for systemic use, plain",corticosteroids for systemic use,"systemic hormonal preparations, excl. sex hormones and insulins",rimexolone,CCC(=O)[C@@]1(C)[C@H](C)CC2C3CCC4=CC(=O)C=C[C@]4(C)C3[C@@H](O)C[C@@]21C,ROOT
690,doxycycline,antiinfectives and antiseptics for local oral treatment,stomatological preparations,stomatological preparations,alimentary tract and metabolism drugs,doxycycline,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21,ROOT
691,doxycycline,tetracyclines,tetracycline antibiotics,antibacterials for systemic use,antiinfectives for systemic use,doxycycline,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21,ROOT
692,fulvestrant,anti-estrogens,hormone antagonists and related agents,endocrine therapy antineoplastic and immunomodulating agents,antineoplastic and immunomodulating agents,fulvestrant,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)C3[C@@H]1CC[C@@H]2O,ROOT
693,eprosartan,"angiotensin ii antagonists, plain","angiotensin ii antagonists, plain",agents acting on the renin-angiotensin system,cardiovascular system drugs,eprosartan,CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1,ROOT
694,benazepril,"ace inhibitors, plain","ace inhibitors, plain",agents acting on the renin-angiotensin system,cardiovascular system drugs,benazepril,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O,ROOT
695,tasosartan,"angiotensin ii antagonists, plain","angiotensin ii antagonists, plain",agents acting on the renin-angiotensin system,cardiovascular system drugs,tasosartan,Cc1nc(C)c2c(n1)N(Cc1ccc(-c3ccccc3-c3nn[nH]n3)cc1)C(=O)CC2,ROOT
696,pirbuterol,"selective beta-2-adrenoreceptor agonists, systemic",adrenergics for systemic use,drugs for obstructive airway diseases,respiratory system drugs,pirbuterol,CC(C)(C)NCC(O)c1ccc(O)c(CO)n1,ROOT
697,pirbuterol,selective beta-2-adrenoreceptor agonist inhalants,"adrenergics, inhalants",drugs for obstructive airway diseases,respiratory system drugs,pirbuterol,CC(C)(C)NCC(O)c1ccc(O)c(CO)n1,ROOT
698,hydromorphone,natural opium alkaloid analgesics,opioid analgesics,analgesics,nervous system drugs,hydromorphone,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5,ROOT
699,halothane,"halogenated hydrocarbons, general anesthetics","anesthetics, general",anesthetics,nervous system drugs,halothane,FC(F)(F)C(Cl)Br,ROOT
700,prasugrel,platelet aggregation inhibitors excl. heparin,antithrombotic agents,antithrombotic agents,blood and blood forming organ drugs,prasugrel,CC(=O)Oc1cc2c(s1)CCN(C(C(=O)C1CC1)c1ccccc1F)C2,ROOT
701,levodopa,dopa and dopa derivatives,dopaminergic agents,anti-parkinson drugs,nervous system drugs,levodopa,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,ROOT
702,afatinib,"protein kinase inhibitors, antineoplastic drugs",other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents,afatinib,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,ROOT
703,beclometasone,"corticosteroids, potent (group iii)","corticosteroid dermatological preparations, plain","corticosteroids, dermatological preparations",dermatologicals,beclometasone,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,ROOT
704,beclometasone,corticosteroid nasal preparations for topical use,decongestants and other nasal preparations for topical use,nasal preparations,respiratory system drugs,beclometasone,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,ROOT
705,beclometasone,glucocorticoid inhalants for obstructive airway disease,"other drugs for obstructive airway diseases, inhalants in atc",drugs for obstructive airway diseases,respiratory system drugs,beclometasone,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,ROOT
706,beclometasone,corticosteroids acting locally,intestinal antiinflammatory agents,"antidiarrheals, intestinal antiinflammatory/antiinfective agents",alimentary tract and metabolism drugs,beclometasone,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,ROOT
707,bendroflumethiazide,"thiazides, plain","low-ceiling diuretics, thiazides",diuretics,cardiovascular system drugs,bendroflumethiazide,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,ROOT
708,sunitinib,"protein kinase inhibitors, antineoplastic drugs",other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents,sunitinib,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,ROOT
709,mifepristone,"progesterone receptor modulators, sex hormones and modulators of the genital system",other sex hormones and modulators of the genital system in atc,sex hormones and modulators of the genital system,genito urinary system and sex hormones,mifepristone,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,ROOT
710,rivaroxaban,direct factor xa inhibitors,antithrombotic agents,antithrombotic agents,blood and blood forming organ drugs,rivaroxaban,O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,ROOT
711,oxprenolol,"beta blocking agents, non-selective",beta blocking agents,beta-adrenergic blocking agents,cardiovascular system drugs,oxprenolol,C=CCOc1ccccc1OCC(O)CNC(C)C,ROOT
712,auranofin,gold preparations,specific antirheumatic agents,antiinflammatory and antirheumatic products,musculo-skeletal system drugs,auranofin,CCP(CC)(CC)=[Au]S[C@@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O,ROOT
713,aminoglutethimide,aromatase inhibitors,hormone antagonists and related agents,endocrine therapy antineoplastic and immunomodulating agents,antineoplastic and immunomodulating agents,aminoglutethimide,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,ROOT
714,etodolac,acetic acid derivatives and related substances,"antiinflammatory and antirheumatic products, non-steroids",antiinflammatory and antirheumatic products,musculo-skeletal system drugs,etodolac,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,ROOT
715,pyrazinamide,other drugs for treatment of tuberculosis in atc,drugs for treatment of tuberculosis,antimycobacterials,antiinfectives for systemic use,pyrazinamide,NC(=O)c1cnccn1,ROOT
716,enoxacin,"fluoroquinolone antibacterials, systemic",quinolone antibacterials,antibacterials for systemic use,antiinfectives for systemic use,enoxacin,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,ROOT
717,sulfacetamide,"sulfonamides, ophthalmologic antiinfectives",antiinfective ophthalmologics,ophthalmologicals,sensory organ drugs,sulfacetamide,CC(=O)NS(=O)(=O)c1ccc(N)cc1,ROOT
718,sulfacetamide,antiinfectives for treatment of acne,anti-acne preparations for topical use,anti-acne preparations,dermatologicals,sulfacetamide,CC(=O)NS(=O)(=O)c1ccc(N)cc1,ROOT
719,letrozole,aromatase inhibitors,hormone antagonists and related agents,endocrine therapy antineoplastic and immunomodulating agents,antineoplastic and immunomodulating agents,letrozole,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,ROOT
720,oxamniquine,"quinoline derivatives and related substances, antitrematodals",antitrematodals,anthelmintics,"antiparasitic products, insecticides and repellents",oxamniquine,CC(C)NCC1CCc2cc(CO)c([N+](=O)[O-])cc2N1,ROOT
721,phenytoin,"hydantoin derivatives, antiepileptics",antiepileptics,antiepileptics,nervous system drugs,phenytoin,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,ROOT
722,zaleplon,benzodiazepine related hypnotics and sedatives,hypnotics and sedatives,psycholeptics,nervous system drugs,zaleplon,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,ROOT
723,triazolam,benzodiazepine derivative hypnotics and sedatives,hypnotics and sedatives,psycholeptics,nervous system drugs,triazolam,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,ROOT
724,adenosine,other plain cardiac preparations in atc,other cardiac preparations in atc,cardiac therapy drugs,cardiovascular system drugs,adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,ROOT
725,dantrolene,"dantrolene and derivatives, muscle relaxants, direct acting","muscle relaxants, directly acting agents",muscle relaxants,musculo-skeletal system drugs,dantrolene,O=C1CN(N=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,ROOT
726,alprazolam,benzodiazepine derivative anxiolytics,anxiolytics,psycholeptics,nervous system drugs,alprazolam,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,ROOT
727,lubiprostone,other drugs for constipation in atc,drugs for constipation,drugs for constipation,alimentary tract and metabolism drugs,lubiprostone,CCCCC(F)(F)[C@@]1(O)CC[C@@H]2[C@H](CCCCCCC(=O)O)C(=O)C[C@H]2O1,ROOT
728,brimonidine,other dermatological preparations in atc,other dermatological preparations in atc,other dermatological preparations in atc,dermatologicals,brimonidine,Brc1c(NC2=NCCN2)ccc2nccnc12,ROOT
729,brimonidine,sympathomimetics in glaucoma therapy,antiglaucoma preparations and miotics,ophthalmologicals,sensory organ drugs,brimonidine,Brc1c(NC2=NCCN2)ccc2nccnc12,ROOT
730,phensuximide,"succinimide derivatives, antiepileptics",antiepileptics,antiepileptics,nervous system drugs,phensuximide,CN1C(=O)CC(c2ccccc2)C1=O,ROOT
731,trichlormethiazide,"thiazides, plain","low-ceiling diuretics, thiazides",diuretics,cardiovascular system drugs,trichlormethiazide,NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O,ROOT
732,milnacipran,other antidepressants in atc,antidepressants,psychoanaleptics,nervous system drugs,milnacipran,CCN(CC)C(=O)[C@]1(c2ccccc2)C[C@@H]1CN,ROOT
733,rufinamide,"carboxamide derivatives, antiepileptics",antiepileptics,antiepileptics,nervous system drugs,rufinamide,NC(=O)c1cn(Cc2c(F)cccc2F)nn1,ROOT
734,fexofenadine,other antihistamines for systemic use in atc,antihistamines for systemic use,antihistamines for systemic use,respiratory system drugs,fexofenadine,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,ROOT
735,perhexiline,other non-selective calcium channel blockers in atc,non-selective calcium channel blockers,calcium channel blockers,cardiovascular system drugs,perhexiline,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,ROOT
736,nebivolol,"beta blocking agents, selective",beta blocking agents,beta-adrenergic blocking agents,cardiovascular system drugs,nebivolol,OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1,ROOT
737,finasteride,testosterone-5-alpha reductase inhibitors for benign prostatic hypertrophy,drugs used in benign prostatic hypertrophy,urologicals,genito urinary system and sex hormones,finasteride,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,ROOT
738,finasteride,other dermatological preparations in atc,other dermatological preparations in atc,other dermatological preparations in atc,dermatologicals,finasteride,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,ROOT
739,paroxetine,selective serotonin reuptake inhibitors,antidepressants,psychoanaleptics,nervous system drugs,paroxetine,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,ROOT
740,nandrolone,other ophthalmologicals in atc,other ophthalmologicals in atc,ophthalmologicals,sensory organ drugs,nandrolone,C[C@]12CC[C@@H]3[C@H]4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)CCc1ccccc1,ROOT
741,nandrolone,"estren derivatives, systemic",anabolic steroids,anabolic agents for systemic use,alimentary tract and metabolism drugs,nandrolone,C[C@]12CC[C@@H]3[C@H]4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)CCc1ccccc1,ROOT
742,atazanavir,"protease inhibitors, direct acting antivirals",direct acting antivirals,antivirals for systemic use,antiinfectives for systemic use,atazanavir,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,ROOT
743,tolvaptan,"vasopressin antagonists, diuretics",other diuretics in atc,diuretics,cardiovascular system drugs,tolvaptan,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCC[C@@H](O)c3cc(Cl)ccc32)c(C)c1,ROOT
744,prilocaine,amide local anesthetics,local anesthetics,anesthetics,nervous system drugs,prilocaine,CCCNC(C)C(=O)Nc1ccccc1C,ROOT
745,glipizide,sulfonylureas for blood glucose lowering,"blood glucose lowering drugs, excl. insulins",drugs used in diabetes,alimentary tract and metabolism drugs,glipizide,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,ROOT
746,propofol,other general anesthetics in atc,"anesthetics, general",anesthetics,nervous system drugs,propofol,CC(C)c1cccc(C(C)C)c1O,ROOT
