ATC_LVL5,ATC_LVL4,ATC_LVL3,ATC_LVL2,ATC_LVL1
paromomycin,"antibiotics, intestinal",intestinal antiinfectives,"antidiarrheals, intestinal antiinflammatory/antiinfective agents",alimentary tract and metabolism drugs
clioquinol,medicated dressings with antiinfectives,medicated dressings,medicated dressings,dermatologicals
hydrocortisone butyrate,"corticosteroids, moderately potent (group ii)","corticosteroid dermatological preparations, plain","corticosteroids, dermatological preparations",dermatologicals
catumaxomab,"monoclonal antibodies, antineoplastic",other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents
alprazolam,benzodiazepine derivative anxiolytics,anxiolytics,psycholeptics,nervous system drugs
technetium (99mtc) antimelanoma antibody,"technetium 99m compounds, tumor detection radiopharmaceuticals",tumour detection radiopharmaceuticals,diagnostic radiopharmaceuticals,various drug classes in atc
casopitant,other antiemetics in atc,antiemetics and antinauseants,antiemetics and antinauseants,alimentary tract and metabolism drugs
sodium iodide (124i),various thyroid diagnostic radiopharmaceuticals,thyroid diagnostic radiopharmaceuticals,diagnostic radiopharmaceuticals,various drug classes in atc
tasimelteon,"melatonin receptor agonists, hypnotics and sedatives",hypnotics and sedatives,psycholeptics,nervous system drugs
technetium (99mtc) depreotide,"technetium 99m compounds, tumor detection radiopharmaceuticals",tumour detection radiopharmaceuticals,diagnostic radiopharmaceuticals,various drug classes in atc
lubiprostone,other drugs for constipation in atc,drugs for constipation,drugs for constipation,alimentary tract and metabolism drugs
natamycin,"antibiotics, gynecological","antiinfectives and antiseptics, excl. combinations with corticosteroids",gynecological antiinfectives and antiseptics,genito urinary system and sex hormones
hexamidine,antiseptic throat preparations,throat preparations,throat preparations,respiratory system drugs
brimonidine,other dermatological preparations in atc,other dermatological preparations in atc,other dermatological preparations in atc,dermatologicals
phensuximide,"succinimide derivatives, antiepileptics",antiepileptics,antiepileptics,nervous system drugs
trichlormethiazide,"thiazides, plain","low-ceiling diuretics, thiazides",diuretics,cardiovascular system drugs
milnacipran,other antidepressants in atc,antidepressants,psychoanaleptics,nervous system drugs
rufinamide,"carboxamide derivatives, antiepileptics",antiepileptics,antiepileptics,nervous system drugs
oxyphenisatine,contact laxatives,drugs for constipation,drugs for constipation,alimentary tract and metabolism drugs
"bupivacaine, combinations",amide local anesthetics,local anesthetics,anesthetics,nervous system drugs
fexofenadine,other antihistamines for systemic use in atc,antihistamines for systemic use,antihistamines for systemic use,respiratory system drugs
chlormadinone and ethinylestradiol,"progestogens and estrogen systemic contraceptives, fixed combinations",hormonal contraceptives for systemic use,sex hormones and modulators of the genital system,genito urinary system and sex hormones
methyl aminolevulinate,sensitizers used in photodynamic/radiation therapy,other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents
methyldopa (levorotatory),"methyldopa, centrally acting adntiadrenergic agents","antiadrenergic agents, centrally acting",antihypertensives,cardiovascular system drugs
zimeldine,selective serotonin reuptake inhibitors,antidepressants,psychoanaleptics,nervous system drugs
"albumin tannate, combinations",other antidiarrheals in atc,other antidiarrheals in atc,"antidiarrheals, intestinal antiinflammatory/antiinfective agents",alimentary tract and metabolism drugs
aluminium preparations,other agents for treatment of hemorrhoids and anal fissures for topical use in atc,agents for treatment of hemorrhoids and anal fissures for topical use,vasoprotectives,cardiovascular system drugs
perhexiline,other non-selective calcium channel blockers in atc,non-selective calcium channel blockers,calcium channel blockers,cardiovascular system drugs
nebivolol,"beta blocking agents, selective",beta blocking agents,beta-adrenergic blocking agents,cardiovascular system drugs
iodoform,medicated dressings with antiinfectives,medicated dressings,medicated dressings,dermatologicals
codeine and ibuprofen,opioids in combination with non-opioid analgesics,opioid analgesics,analgesics,nervous system drugs
finasteride,testosterone-5-alpha reductase inhibitors for benign prostatic hypertrophy,drugs used in benign prostatic hypertrophy,urologicals,genito urinary system and sex hormones
insulin (beef),"insulins and analogues for injection, long-acting",insulins and analogues,drugs used in diabetes,alimentary tract and metabolism drugs
betacarotene,protectives against uv-radiation for systemic use,protectives against uv-radiation,emollients and protectives,dermatologicals
vedolizumab,selective immunosuppressants,immunosuppressants,immunosuppressants,antineoplastic and immunomodulating agents
paroxetine,selective serotonin reuptake inhibitors,antidepressants,psychoanaleptics,nervous system drugs
"bioallethrin, combinations","pyrethrines, incl. synthetic compounds, ectoparasiticides, incl. scabicides","ectoparasiticides, incl. scabicides","ectoparasiticides, incl. scabicides, insecticides and repellents","antiparasitic products, insecticides and repellents"
beclometasone,corticosteroid nasal preparations for topical use,decongestants and other nasal preparations for topical use,nasal preparations,respiratory system drugs
pentosan polysulfate sodium,heparins or heparinoids for topical use,antivaricose therapy drugs,vasoprotectives,cardiovascular system drugs
sodium iodohippurate (131i),other renal system diagnostic radiopharmaceuticals in atc,renal system diagnostic radiopharmaceuticals,diagnostic radiopharmaceuticals,various drug classes in atc
nandrolone,other ophthalmologicals in atc,other ophthalmologicals in atc,ophthalmologicals,sensory organ drugs
urate oxidase,other antigout preparations in atc,antigout preparations,antigout preparations,musculo-skeletal system drugs
typhoid-hepatitis a,"bacterial and viral vaccines, combined","bacterial and viral vaccines, combined",vaccines,antiinfectives for systemic use
calcium lactate,calcium,calcium supplements,mineral supplements,alimentary tract and metabolism drugs
diphtheria-hemophilus influenzae b-pertussis-tetanus-hepatitis b-meningococcus a + c,"bacterial and viral vaccines, combined","bacterial and viral vaccines, combined",vaccines,antiinfectives for systemic use
kanamycin,other aminoglycosides in atc,aminoglycoside antibacterials,antibacterials for systemic use,antiinfectives for systemic use
tolciclate,other antifungals for topical use in atc,antifungals for topical use,antifungals for dermatological use,dermatologicals
poly iclc,other immunostimulants in atc,immunostimulants,immunostimulants,antineoplastic and immunomodulating agents
fotemustine,"nitrosoureas, antineoplastic alkylating agents",alkylating agents,antineoplastic agents,antineoplastic and immunomodulating agents
fusidic acid,"antibiotics, ophthalmologic",antiinfective ophthalmologics,ophthalmologicals,sensory organ drugs
clobetasone and antiinfectives,"corticosteroids and antiinfectives in combination, opthalmologic",antiinflammatory agents and antiinfectives in combination,ophthalmologicals,sensory organ drugs
technetium (99mtc) galtifenin,"technetium 99m compounds, hepatic and reticulo endothelial system diagnostic radiopharmaceuticals",hepatic and reticulo endothelial system diagnostic radiopharmaceuticals,diagnostic radiopharmaceuticals,various drug classes in atc
ferrous gluconate,"iron bivalent, oral antianemic preparations",iron antianemic preparations,antianemic preparations,blood and blood forming organ drugs
eprazinone,mucolytics,"expectorants, excl. combinations with cough suppressants",cough and cold preparations,respiratory system drugs
sugammadex,antidotes,all other therapeutic products,all other therapeutic products,various drug classes in atc
mepartricin,other drugs used in benign prostatic hypertrophy in atc,drugs used in benign prostatic hypertrophy,urologicals,genito urinary system and sex hormones
cetrimide,"quaternary ammonium compounds, antiseptics and disinfectants",antiseptics and disinfectants,antiseptics and disinfectants,dermatologicals
trandolapril and verapamil,ace inhibitors and calcium channel blockers,"ace inhibitors, combinations",agents acting on the renin-angiotensin system,cardiovascular system drugs
rifamycin,"antibiotics, ophthalmologic",antiinfective ophthalmologics,ophthalmologicals,sensory organ drugs
atazanavir,"protease inhibitors, direct acting antivirals",direct acting antivirals,antivirals for systemic use,antiinfectives for systemic use
phenol,other local anesthetics in atc,local anesthetics,anesthetics,nervous system drugs
dipyrocetyl,"salicylic acid and derivatives, analgesics and antipyretics",other analgesics and antipyretics in atc,analgesics,nervous system drugs
ferric oxide polymaltose complexes,iron in combination with folic acid,iron antianemic preparations,antianemic preparations,blood and blood forming organ drugs
diethyl ether,ethers for general anesthesia,"anesthetics, general",anesthetics,nervous system drugs
troglitazone,"thiazolidinediones, blood glucose lowering drugs","blood glucose lowering drugs, excl. insulins",drugs used in diabetes,alimentary tract and metabolism drugs
ethinylestradiol,"estrogens, endocrine therapy drugs",hormones and related agents,endocrine therapy antineoplastic and immunomodulating agents,antineoplastic and immunomodulating agents
sobrerol,mucolytics,"expectorants, excl. combinations with cough suppressants",cough and cold preparations,respiratory system drugs
norethisterone,progestogen systemic hormonal contraceptives,hormonal contraceptives for systemic use,sex hormones and modulators of the genital system,genito urinary system and sex hormones
ferric maltol,"iron trivalent, oral antianemic preparations",iron antianemic preparations,antianemic preparations,blood and blood forming organ drugs
betanidine,"guanine derivatives, peripherally acting antiadrenergic agents","antiadrenergic agents, peripherally acting",antihypertensives,cardiovascular system drugs
tolvaptan,"vasopressin antagonists, diuretics",other diuretics in atc,diuretics,cardiovascular system drugs
"heparinoid, combinations",heparins or heparinoids for topical use,antivaricose therapy drugs,vasoprotectives,cardiovascular system drugs
amino acids,solutions for parenteral nutrition,"iv solutions used in parenteral administration of fluids, electrolytes and nutrients",blood substitutes and perfusion solutions,blood and blood forming organ drugs
metrizoic acid,"watersoluble, nephrotropic, high osmolar x-ray contrast media","x-ray contrast media, iodinated",contrast media,various drug classes in atc
fluorometholone and mydriatics,corticosteroids and mydriatics in combination,"antiinflammatory agents, ophthalmologic",ophthalmologicals,sensory organ drugs
"tropicamide, combinations",anticholinergic mydriatics and cycloplegics,mydriatics and cycloplegics,ophthalmologicals,sensory organ drugs
uridine triacetate,various alimentary tract and metabolism products,other alimentary tract and metabolism products in atc,other alimentary tract and metabolism products in atc,alimentary tract and metabolism drugs
prilocaine,amide local anesthetics,local anesthetics,anesthetics,nervous system drugs
nebivolol and amlodipine,beta blocking agents and calcium channel blockers,"beta blocking agents, other combinations",beta-adrenergic blocking agents,cardiovascular system drugs
glipizide,sulfonylureas for blood glucose lowering,"blood glucose lowering drugs, excl. insulins",drugs used in diabetes,alimentary tract and metabolism drugs
oxantel,"tetrahydropyrimidine derivatives, antinematodal",antinematodal agents,anthelmintics,"antiparasitic products, insecticides and repellents"
racecadotril,other antidiarrheals in atc,other antidiarrheals in atc,"antidiarrheals, intestinal antiinflammatory/antiinfective agents",alimentary tract and metabolism drugs
thrombin,blood coagulation factors,vitamin k and other hemostatics,antihemorrhagics,blood and blood forming organ drugs
tacalcitol,other antipsoriatics for topical use in atc,antipsoriatics for topical use,antipsoriatics,dermatologicals
propofol,other general anesthetics in atc,"anesthetics, general",anesthetics,nervous system drugs
endralazine,hydrazinophthalazine derivatives acting on arteriolar smooth muscle,"arteriolar smooth muscle, agents acting on",antihypertensives,cardiovascular system drugs
duloxetine,other antidepressants in atc,antidepressants,psychoanaleptics,nervous system drugs
sodium nitrite,antidotes,all other therapeutic products,all other therapeutic products,various drug classes in atc
perindopril,"ace inhibitors, plain","ace inhibitors, plain",agents acting on the renin-angiotensin system,cardiovascular system drugs
ketoprofen,"antiinflammatory preparations, non-steroids for topical use",topical products for joint and muscular pain,topical products for joint and muscular pain,musculo-skeletal system drugs
hymecromone,other drugs for bile therapy in atc,bile therapy drugs,bile and liver therapy drugs,alimentary tract and metabolism drugs
almagate,"antacids containing combinations and complexes of aluminium, calcium and magnesium compounds",antacids,drugs for acid related disorders,alimentary tract and metabolism drugs
pyridoxine,other plain vitamin preparations in atc,other plain vitamin preparations in atc,vitamins,alimentary tract and metabolism drugs
vilazodone,other antidepressants in atc,antidepressants,psychoanaleptics,nervous system drugs
bephenium,other antinematodals in atc,antinematodal agents,anthelmintics,"antiparasitic products, insecticides and repellents"
deserpidine,"rauwolfia alkaloids, centrally acting antiadrenergic","antiadrenergic agents, centrally acting",antihypertensives,cardiovascular system drugs
"fluticasone, combinations",corticosteroid nasal preparations for topical use,decongestants and other nasal preparations for topical use,nasal preparations,respiratory system drugs
sitimagene ceradenovec,other antineoplastic agents in atc,other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents
nalbuphine,"morphinan derivatives, opiod analgesics",opioid analgesics,analgesics,nervous system drugs
rilmenidine,imidazoline receptor agonists,"antiadrenergic agents, centrally acting",antihypertensives,cardiovascular system drugs
viminol,other analgesics and antipyretics in atc,other analgesics and antipyretics in atc,analgesics,nervous system drugs
seratrodast,other systemic drugs for obstructive airway diseases in atc,other systemic drugs for obstructive airway diseases in atc,drugs for obstructive airway diseases,respiratory system drugs
amitriptyline,non-selective monoamine reuptake inhibitors,antidepressants,psychoanaleptics,nervous system drugs
"c1-inhibitor, plasma derived",drugs used in hereditary angioedema,other hematological agents in atc,other hematological agents in atc,blood and blood forming organ drugs
dabrafenib,"protein kinase inhibitors, antineoplastic drugs",other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents
dimeticone,"other ectoparasiticides, incl. scabicides in atc","ectoparasiticides, incl. scabicides","ectoparasiticides, incl. scabicides, insecticides and repellents","antiparasitic products, insecticides and repellents"
bupranolol,"beta blocking agents, non-selective",beta blocking agents,beta-adrenergic blocking agents,cardiovascular system drugs
dexchlorpheniramine,"substituted alkylamines, systemic antihistamines",antihistamines for systemic use,antihistamines for systemic use,respiratory system drugs
droxidopa,adrenergic and dopaminergic cardiac stimulants,cardiac stimulants excl. cardiac glycosides,cardiac therapy drugs,cardiovascular system drugs
crospovidone,other intestinal adsorbents in atc,intestinal adsorbents,"antidiarrheals, intestinal antiinflammatory/antiinfective agents",alimentary tract and metabolism drugs
tenidap,"other antiinflammatory and antirheumatic agents, non-steroids in atc","antiinflammatory and antirheumatic products, non-steroids",antiinflammatory and antirheumatic products,musculo-skeletal system drugs
benzydamine,other throat preparations in atc,throat preparations,throat preparations,respiratory system drugs
artenimol,"artemisinin and derivatives, plain",antimalarials,antiprotozoals,"antiparasitic products, insecticides and repellents"
ibuprofen,"antiinflammatory preparations, non-steroids for topical use",topical products for joint and muscular pain,topical products for joint and muscular pain,musculo-skeletal system drugs
vecuronium,"other quaternary ammonium compounds in atc, muscle relaxants, peripherally acting","muscle relaxants, peripherally acting agents",muscle relaxants,musculo-skeletal system drugs
prochlorperazine,"phenothiazines with piperazine structure, antipsychotics",antipsychotics,psycholeptics,nervous system drugs
barbiturates in combination with other drugs,"barbiturates, combinations",hypnotics and sedatives,psycholeptics,nervous system drugs
acetophenazine,"phenothiazines with piperazine structure, antipsychotics",antipsychotics,psycholeptics,nervous system drugs
tyropanoic acid,"watersoluble, hepatotropic x-ray contrast media","x-ray contrast media, iodinated",contrast media,various drug classes in atc
"paracetamol, combinations excl. psycholeptics",anilide analgesics and antipyretics,other analgesics and antipyretics in atc,analgesics,nervous system drugs
pipecuronium bromide,"other quaternary ammonium compounds in atc, muscle relaxants, peripherally acting","muscle relaxants, peripherally acting agents",muscle relaxants,musculo-skeletal system drugs
methallenestril,"synthetic estrogens, plain","estrogens, sex hormones and modulators of the genital system",sex hormones and modulators of the genital system,genito urinary system and sex hormones
tranexamic acid,antifibrinolytic amino acids,antifibrinolytics,antihemorrhagics,blood and blood forming organ drugs
"reserpine, combinations","rauwolfia alkaloids, centrally acting antiadrenergic","antiadrenergic agents, centrally acting",antihypertensives,cardiovascular system drugs
"emtricitabine, tenofovir alafenamide, elvitegravir and cobicistat","antivirals for treatment of hiv infections, combinations",direct acting antivirals,antivirals for systemic use,antiinfectives for systemic use
betacarotene,"vitamin a, plain","vitamin a and d, incl. combinations of the two",vitamins,alimentary tract and metabolism drugs
pyrithyldione,"piperidinedione derivatives, hypnotics and sedatives",hypnotics and sedatives,psycholeptics,nervous system drugs
cabozantinib,"protein kinase inhibitors, antineoplastic drugs",other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents
hachimycin,"antifungal antibiotics, topical",antifungals for topical use,antifungals for dermatological use,dermatologicals
dilazep,other vasodilators used in cardiac diseases in atc,vasodilators used in cardiac diseases,cardiac therapy drugs,cardiovascular system drugs
magnesium sulfate,"magnesium supplements, alimentary tract and metabolism",other mineral supplements in atc,mineral supplements,alimentary tract and metabolism drugs
oxaliplatin,"platinum compounds, antineoplastic drugs",other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents
atorvastatin,"hmg coa reductase inhibitors, plain lipid modifying drugs","lipid modifying agents, plain",lipid modifying agents,cardiovascular system drugs
"bucetin, combinations excl. psycholeptics",anilide analgesics and antipyretics,other analgesics and antipyretics in atc,analgesics,nervous system drugs
oxprenolol and other diuretics,"beta blocking agents, non-selective, and other diuretics",beta blocking agents and other diuretics,beta-adrenergic blocking agents,cardiovascular system drugs
testosterone,3-oxoandrosten (4) derivatives,androgens,sex hormones and modulators of the genital system,genito urinary system and sex hormones
epirubicin,anthracyclines and related substances,cytotoxic antibiotics and related substances,antineoplastic agents,antineoplastic and immunomodulating agents
belladonna total alkaloids,"belladonna alkaloids, tertiary amines for functional gastrointestinal disorders","belladonna and derivatives containing drugs, plain for functional gastrointestinal disorders",drugs for functional gastrointestinal disorders,alimentary tract and metabolism drugs
rebamipide,other drugs for peptic ulcer and gastro-oesophageal reflux disease (gord) in atc,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),drugs for acid related disorders,alimentary tract and metabolism drugs
dibotermin alfa,bone morphogenetic proteins,drugs affecting bone structure and mineralization,drugs for treatment of bone diseases,musculo-skeletal system drugs
levosimendan,other cardiac stimulants in atc,cardiac stimulants excl. cardiac glycosides,cardiac therapy drugs,cardiovascular system drugs
"meprobamate, combinations",carbamate anxiolytics,anxiolytics,psycholeptics,nervous system drugs
glycine,other irrigating solutions in atc,"irrigating solutions, blood substitutes and perfusion",blood substitutes and perfusion solutions,blood and blood forming organ drugs
balugrastim,colony stimulating factors,immunostimulants,immunostimulants,antineoplastic and immunomodulating agents
aliskiren,renin-inhibitors,other agents acting on the renin-angiotensin system in atc,agents acting on the renin-angiotensin system,cardiovascular system drugs
chlormethine,nitrogen mustard analogues,alkylating agents,antineoplastic agents,antineoplastic and immunomodulating agents
atropine,anticholinergic mydriatics and cycloplegics,mydriatics and cycloplegics,ophthalmologicals,sensory organ drugs
esmolol,"beta blocking agents, selective",beta blocking agents,beta-adrenergic blocking agents,cardiovascular system drugs
yttrium (90y) ferrihydroxide colloid,yttrium-90 antiinflammatory radiopharmaceuticals,antiinflammatory therapeutic radiopharmaceuticals,therapeutic radiopharmaceuticals,various drug classes in atc
sodium chloride,salt irrigating solutions,"irrigating solutions, blood substitutes and perfusion",blood substitutes and perfusion solutions,blood and blood forming organ drugs
isothipendyl,"phenothiazine derivatives, systemic antihistamines",antihistamines for systemic use,antihistamines for systemic use,respiratory system drugs
olmesartan medoxomil and amlodipine,angiotensin ii antagonists and calcium channel blockers,"angiotensin ii antagonists, combinations",agents acting on the renin-angiotensin system,cardiovascular system drugs
fenyramidol,other centrally acting agents in atc,"muscle relaxants, centrally acting agents",muscle relaxants,musculo-skeletal system drugs
guanethidine,other antiglaucoma preparations in atc,antiglaucoma preparations and miotics,ophthalmologicals,sensory organ drugs
enprostil,prostaglandin drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),drugs for acid related disorders,alimentary tract and metabolism drugs
flower allergenic extracts,allergen extracts,allergens,allergens,various drug classes in atc
ipratropium bromide,anticholinergics inhalants for obstructive airway diseases,"other drugs for obstructive airway diseases, inhalants in atc",drugs for obstructive airway diseases,respiratory system drugs
"ketoprofen, combinations","propionic acid derivatives, antiinflammatory and antirheumatic products","antiinflammatory and antirheumatic products, non-steroids",antiinflammatory and antirheumatic products,musculo-skeletal system drugs
oxyquinoline,antiinfectives and antiseptics for local oral treatment,stomatological preparations,stomatological preparations,alimentary tract and metabolism drugs
"encephalitis, tick borne immunoglobulin",specific immunoglobulins,immunoglobulins,immune sera and immunoglobulins,antiinfectives for systemic use
linagliptin,dipeptidyl peptidase 4 (dpp-4) inhibitors for blood glucose lowering,"blood glucose lowering drugs, excl. insulins",drugs used in diabetes,alimentary tract and metabolism drugs
codeine,"opium alkaloids and derivatives, cough suppressants","cough suppressants, excl. combinations with expectorants",cough and cold preparations,respiratory system drugs
semaglutide,glucagon-like peptide-1 (glp-1) analogues,"blood glucose lowering drugs, excl. insulins",drugs used in diabetes,alimentary tract and metabolism drugs
miconazole,"imidazole derivatives, intestinal antiinfectives",intestinal antiinfectives,"antidiarrheals, intestinal antiinflammatory/antiinfective agents",alimentary tract and metabolism drugs
lorajmine,"antiarrhythmics, class ia","antiarrhythmics, class i and iii",cardiac therapy drugs,cardiovascular system drugs
pheniramine,antihistamines for topical use,"antipruritics, incl. antihistamines, anesthetics, etc.","antipruritics, incl. antihistamines, anesthetics, etc.",dermatologicals
tiemonium iodide,"synthetic anticholinergics, quaternary ammonium compounds for functional gastrointestinal disorders",drugs for functional gastrointestinal disorders,drugs for functional gastrointestinal disorders,alimentary tract and metabolism drugs
"clorexolone, combinations with psycholeptics","sulfonamides, low-ceiling diuretics, plain","low-ceiling diuretics, excl. thiazides",diuretics,cardiovascular system drugs
sevoflurane,"halogenated hydrocarbons, general anesthetics","anesthetics, general",anesthetics,nervous system drugs
naproxen and misoprostol,"propionic acid derivatives, antiinflammatory and antirheumatic products","antiinflammatory and antirheumatic products, non-steroids",antiinflammatory and antirheumatic products,musculo-skeletal system drugs
prednisolone,corticosteroids acting locally,intestinal antiinflammatory agents,"antidiarrheals, intestinal antiinflammatory/antiinfective agents",alimentary tract and metabolism drugs
cromoglicic acid,"antiallergic nasal preparations for topical use, excl. corticosteroids",decongestants and other nasal preparations for topical use,nasal preparations,respiratory system drugs
"bifonazole, combinations","imidazole and triazole derivatives, topical antifungals",antifungals for topical use,antifungals for dermatological use,dermatologicals
vardenafil,drugs used in erectile dysfunction,urologicals,urologicals,genito urinary system and sex hormones
glycyrrhizic acid,liver therapy drugs,"liver therapy, lipotropics",bile and liver therapy drugs,alimentary tract and metabolism drugs
"benziodarone, combinations",other vasodilators used in cardiac diseases in atc,vasodilators used in cardiac diseases,cardiac therapy drugs,cardiovascular system drugs
"lansoprazole, tetracycline and metronidazole",combinations for eradication of helicobacter pylori,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),drugs for acid related disorders,alimentary tract and metabolism drugs
indometacin,"antiinflammatory agents, non-steroidal, ophthalmologic","antiinflammatory agents, ophthalmologic",ophthalmologicals,sensory organ drugs
picloxydine,other antiinfectives in atc,antiinfective ophthalmologics,ophthalmologicals,sensory organ drugs
amoxicillin,penicillins with extended spectrum,"beta-lactam antibacterials, penicillins",antibacterials for systemic use,antiinfectives for systemic use
"salicylamide, combinations with psycholeptics","salicylic acid and derivatives, analgesics and antipyretics",other analgesics and antipyretics in atc,analgesics,nervous system drugs
hydrochlorothiazide and potassium-sparing agents,low-ceiling diuretics and potassium-sparing agents,diuretics and potassium-sparing agents in combination,diuretics,cardiovascular system drugs
metoprolol and thiazides,"beta blocking agents, selective, and thiazides",beta blocking agents and thiazides,beta-adrenergic blocking agents,cardiovascular system drugs
nimesulide,"other antiinflammatory and antirheumatic agents, non-steroids in atc","antiinflammatory and antirheumatic products, non-steroids",antiinflammatory and antirheumatic products,musculo-skeletal system drugs
moxifloxacin,"fluoroquinolone antibacterials, systemic",quinolone antibacterials,antibacterials for systemic use,antiinfectives for systemic use
clobazam,benzodiazepine derivative anxiolytics,anxiolytics,psycholeptics,nervous system drugs
prajmaline,"antiarrhythmics, class ia","antiarrhythmics, class i and iii",cardiac therapy drugs,cardiovascular system drugs
ofloxacin,"fluoroquinolone antibacterials, systemic",quinolone antibacterials,antibacterials for systemic use,antiinfectives for systemic use
sulfamethizole,"sulfonamides, ophthalmologic antiinfectives",antiinfective ophthalmologics,ophthalmologicals,sensory organ drugs
contact laxatives in combination,contact laxatives,drugs for constipation,drugs for constipation,alimentary tract and metabolism drugs
fluprednidene and antibiotics,"corticosteroids, moderately potent, combinations with antibiotics","corticosteroids, combinations with antibiotics","corticosteroids, dermatological preparations",dermatologicals
desogestrel and estrogen,"progestogens and estrogens, sequential preparations",progestogens and estrogens in combination,sex hormones and modulators of the genital system,genito urinary system and sex hormones
cicletanine,other low-ceiling diuretics in atc,"low-ceiling diuretics, excl. thiazides",diuretics,cardiovascular system drugs
durvalumab,"monoclonal antibodies, antineoplastic",other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents
sodium tartrate,osmotically acting laxatives,drugs for constipation,drugs for constipation,alimentary tract and metabolism drugs
somatostatin,somatostatin and analogues,hypothalamic hormones,pituitary and hypothalamic hormones and analogues,"systemic hormonal preparations, excl. sex hormones and insulins"
ethionamide,thiocarbamide derivatives for treatment of tuberculosis,drugs for treatment of tuberculosis,antimycobacterials,antiinfectives for systemic use
various other nasal preparations in atc,other nasal preparations in atc,decongestants and other nasal preparations for topical use,nasal preparations,respiratory system drugs
diclofenac,acetic acid derivatives and related substances,"antiinflammatory and antirheumatic products, non-steroids",antiinflammatory and antirheumatic products,musculo-skeletal system drugs
"meningococcus c, purified polysaccharides antigen conjugated",meningococcal vaccines,bacterial vaccines,vaccines,antiinfectives for systemic use
emedastine,other antiallergics in atc,decongestants and antiallergics,ophthalmologicals,sensory organ drugs
polycarbophil calcium,bulk-forming laxatives,drugs for constipation,drugs for constipation,alimentary tract and metabolism drugs
norfloxacin,"fluoroquinolone antiinfectives, ophthalmologic",antiinfective ophthalmologics,ophthalmologicals,sensory organ drugs
rolitetracycline,tetracyclines,tetracycline antibiotics,antibacterials for systemic use,antiinfectives for systemic use
levetiracetam,other antiepileptics in atc,antiepileptics,antiepileptics,nervous system drugs
cortisone,"corticosteroid ophthalmologic antiinflammatory agents, plain","antiinflammatory agents, ophthalmologic",ophthalmologicals,sensory organ drugs
moracizine,"other antiarrhythmics, class i and iii in atc","antiarrhythmics, class i and iii",cardiac therapy drugs,cardiovascular system drugs
organic nitrates in combination,organic nitrates used in cardiac disease,vasodilators used in cardiac diseases,cardiac therapy drugs,cardiovascular system drugs
benoxaprofen,"propionic acid derivatives, antiinflammatory and antirheumatic products","antiinflammatory and antirheumatic products, non-steroids",antiinflammatory and antirheumatic products,musculo-skeletal system drugs
miconazole,"imidazole derivatives, antimycotic for systemic use",antimycotics for systemic use,antimycotics for systemic use,antiinfectives for systemic use
chlorothiazide and potassium,thiazides and potassium in combination,"low-ceiling diuretics, thiazides",diuretics,cardiovascular system drugs
dexamfetamine,centrally acting sympathomimetics,"psychostimulants, agents used for adhd and nootropics",psychoanaleptics,nervous system drugs
pentifylline,"purine derivatives, peripheral vasodilators",peripheral vasodilators,peripheral vasodilators,cardiovascular system drugs
"peginterferon alfa-2b, combinations",interferons,immunostimulants,immunostimulants,antineoplastic and immunomodulating agents
clopenthixol,"thioxanthene derivatives, antipsychotic",antipsychotics,psycholeptics,nervous system drugs
betamethasone,"corticosteroids, potent, other combinations","corticosteroids, other combinations","corticosteroids, dermatological preparations",dermatologicals
etamiphylline and adrenergics,xanthines and adrenergics,other systemic drugs for obstructive airway diseases in atc,drugs for obstructive airway diseases,respiratory system drugs
amifampridine,other nervous system drugs in atc,other nervous system drugs in atc,other nervous system drugs in atc,nervous system drugs
sodium hypochlorite,other antiseptics and disinfectants in atc,antiseptics and disinfectants,antiseptics and disinfectants,dermatologicals
lixisenatide,glucagon-like peptide-1 (glp-1) analogues,"blood glucose lowering drugs, excl. insulins",drugs used in diabetes,alimentary tract and metabolism drugs
tafamidis,other nervous system drugs in atc,other nervous system drugs in atc,other nervous system drugs in atc,nervous system drugs
cardioplegia solutions,electrolyte solutions,i.v. solution additives,blood substitutes and perfusion solutions,blood and blood forming organ drugs
desoximetasone,"corticosteroids, potent (group iii)","corticosteroid dermatological preparations, plain","corticosteroids, dermatological preparations",dermatologicals
tiazotic acid,other plain cardiac preparations in atc,other cardiac preparations in atc,cardiac therapy drugs,cardiovascular system drugs
zuclopenthixol,"thioxanthene derivatives, antipsychotic",antipsychotics,psycholeptics,nervous system drugs
olopatadine,other antiallergics in atc,decongestants and antiallergics,ophthalmologicals,sensory organ drugs
dequalinium,"quinoline derivatives, antiseptics and disinfectants",antiseptics and disinfectants,antiseptics and disinfectants,dermatologicals
flutrimazole,"imidazole and triazole derivatives, topical antifungals",antifungals for topical use,antifungals for dermatological use,dermatologicals
